Loading wordToVec pickle..
Loaded wordToVec pickle..
Loading train pickle..
Loaded train pickle..
train size:  316436
Loading test pickle..
Loaded test pickle..
pair index 24399 loss tensor(64.5727, grad_fn=<AddBackward0>)
pair index 24499 loss tensor(64.2616, grad_fn=<AddBackward0>)
pair index 24599 loss tensor(66.9169, grad_fn=<AddBackward0>)
pair index 24699 loss tensor(68.3462, grad_fn=<AddBackward0>)
pair index 24799 loss tensor(65.8297, grad_fn=<AddBackward0>)
pair index 24899 loss tensor(65.5196, grad_fn=<AddBackward0>)
pair index 24999 loss tensor(67.7190, grad_fn=<AddBackward0>)
pair index 25099 loss tensor(64.8881, grad_fn=<AddBackward0>)
pair index 25199 loss tensor(65.8391, grad_fn=<AddBackward0>)
pair index 25299 loss tensor(66.4472, grad_fn=<AddBackward0>)
pair index 25399 loss tensor(65.5267, grad_fn=<AddBackward0>)
pair index 25499 loss tensor(64.8825, grad_fn=<AddBackward0>)
pair index 25599 loss tensor(65.5146, grad_fn=<AddBackward0>)
pair index 25699 loss tensor(66.4567, grad_fn=<AddBackward0>)
pair index 25799 loss tensor(68.1084, grad_fn=<AddBackward0>)
pair index 25899 loss tensor(64.5649, grad_fn=<AddBackward0>)
pair index 25999 loss tensor(67.1016, grad_fn=<AddBackward0>)
pair index 26099 loss tensor(64.8757, grad_fn=<AddBackward0>)
pair index 26199 loss tensor(68.3292, grad_fn=<AddBackward0>)
pair index 26299 loss tensor(64.0015, grad_fn=<AddBackward0>)
pair index 26399 loss tensor(65.5527, grad_fn=<AddBackward0>)
pair index 26499 loss tensor(65.5429, grad_fn=<AddBackward0>)
pair index 26599 loss tensor(67.0970, grad_fn=<AddBackward0>)
pair index 26699 loss tensor(69.2897, grad_fn=<AddBackward0>)
pair index 26799 loss tensor(67.0770, grad_fn=<AddBackward0>)
pair index 26899 loss tensor(65.5469, grad_fn=<AddBackward0>)
pair index 26999 loss tensor(68.1162, grad_fn=<AddBackward0>)
pair index 27099 loss tensor(68.0344, grad_fn=<AddBackward0>)
pair index 27199 loss tensor(64.8882, grad_fn=<AddBackward0>)
pair index 27299 loss tensor(67.7177, grad_fn=<AddBackward0>)
pair index 27399 loss tensor(65.8249, grad_fn=<AddBackward0>)
pair index 27499 loss tensor(66.7763, grad_fn=<AddBackward0>)
pair index 27599 loss tensor(65.2558, grad_fn=<AddBackward0>)
pair index 27699 loss tensor(67.4005, grad_fn=<AddBackward0>)
pair index 27799 loss tensor(68.0457, grad_fn=<AddBackward0>)
pair index 27899 loss tensor(65.2179, grad_fn=<AddBackward0>)
pair index 27999 loss tensor(67.4727, grad_fn=<AddBackward0>)
pair index 28099 loss tensor(68.4628, grad_fn=<AddBackward0>)
pair index 28199 loss tensor(67.0843, grad_fn=<AddBackward0>)
pair index 28299 loss tensor(66.2485, grad_fn=<AddBackward0>)
pair index 28399 loss tensor(63.9511, grad_fn=<AddBackward0>)
pair index 28499 loss tensor(65.8328, grad_fn=<AddBackward0>)
pair index 28599 loss tensor(67.3993, grad_fn=<AddBackward0>)
pair index 28699 loss tensor(66.7707, grad_fn=<AddBackward0>)
pair index 28799 loss tensor(64.5806, grad_fn=<AddBackward0>)
pair index 28899 loss tensor(67.4008, grad_fn=<AddBackward0>)
pair index 28999 loss tensor(66.7710, grad_fn=<AddBackward0>)
pair index 29099 loss tensor(68.9219, grad_fn=<AddBackward0>)
pair index 29199 loss tensor(68.0413, grad_fn=<AddBackward0>)
